dataset_id,provider_candidate,interface_or_document,required_permission,fee_status,license_and_redistribution,minimum_coverage,alternative,procurement_decision
stock_industry_classification_history,"申万宏源研究/授权PIT供应商","按发布日期归档的行业分类工作簿或历史成分接口","历史版本下载权限；如使用商业接口，需覆盖退市股与分类标准切换","NOT_VERIFIED; PROVIDER_QUOTE_OR_ARCHIVE_ACCESS_CONFIRMATION_REQUIRED","不得将当前工作簿视为历史授权库；结构化再分发权需单独审查","2005-01-01至独立测试结束日；逐版本发布日期、有效期、退市股与代码迁移","聚宽按日期行业成员导出；交易所/指数公司历史归档交叉验证",PENDING_AUTHORIZATION
stock_financial_statement_vintages,"巨潮资讯/交易所公告库/聚宽/授权PIT供应商","三张主表的首次公告、更正公告和供应商版本接口","全文公告与结构化逐版本报表权限；必须保留首次披露和全部修订","NOT_VERIFIED; PROVIDER_QUOTE_REQUIRED_WHERE_COMMERCIAL","公告可公开查阅不等于结构化数据可再分发；商业数据须按合同限定用途","2005-01-01至独立测试结束日；包含退市、合并、迁移证券","公告原文自建版本库，并用第二授权源抽样核对",PENDING_AUTHORIZATION
stock_historical_valuation,"Tushare/聚宽/授权PIT供应商","daily_basic或等价历史估值接口","全市场历史权限；包含退市证券；接口配额足以全量下载并保存版本","NOT_VERIFIED; POINTS_SUBSCRIPTION_OR_PROVIDER_QUOTE_REQUIRED","SDK许可不等于数据再分发许可；公开仓库不得携带授权数据","2005-01-01至独立测试结束日；PE(TTM)、PB、股息率、总/流通市值","交易所/公告可推导字段加授权源抽样；不接受当前最终快照",PENDING_AUTHORIZATION
etf_benchmark_history,"基金公司/上交所/深交所/巨潮/聚宽/授权基金库","基金合同、招募说明书及基准变更公告；FUND_INVEST_TARGET或等价接口","全生命周期公告正文或结构化历史基准权限","PUBLIC_DOCUMENT_ACQUISITION_COST_NOT_VERIFIED; COMMERCIAL_INTERFACE_QUOTE_REQUIRED","公告下载、OCR、结构化与再分发边界需审查；商业表按合同使用","全部1701只生命周期ETF；每次基准变更的公告日和生效日","官方公告自建事件链，并由授权基金库做日期级抽样",PENDING_AUTHORIZATION
etf_total_return_prices,"授权基金库/交易所与基金公告自建链","复权净值/全收益价格接口，或价格+分红+份额动作+终止现金事件","历史版本或可证明当日可得性的日频接口；覆盖退市ETF","NOT_VERIFIED; PROVIDER_QUOTE_REQUIRED","不得公开再分发未获授权的价格、净值或供应商复权序列","2005-02-23至独立测试结束日；1701只ETF及123只退市ETF","官方事件链重建并由第二价格/净值来源逐值核对",PENDING_AUTHORIZATION
etf_historical_aum_liquidity,"上交所/深交所/基金定期报告/授权基金库","基金份额、AUM、成交额历史接口或报告字段","历史份额和规模下载权限；报告公告日可追踪","NOT_VERIFIED; PUBLIC_ARCHIVE_LABOR_AND_COMMERCIAL_QUOTE_REQUIRED","交易所与报告字段的结构化保存和再分发需审查","2005-02-23至独立测试结束日；全生命周期ETF","交易所成交额+基金报告份额/AUM自建PIT面板",PENDING_AUTHORIZATION
etf_historical_fees,"基金公司/交易所/巨潮/授权基金库","基金合同、招募说明书及更新版中的管理费和托管费条款","全版本文件访问或结构化费率历史权限","NOT_VERIFIED; PUBLIC_ARCHIVE_LABOR_AND_COMMERCIAL_QUOTE_REQUIRED","公开文件可查阅不等于结构化费率库可再分发","2005-02-23至独立测试结束日；公告日、生效日、失效日","公告自建事件链并由授权基金库抽样核对",PENDING_AUTHORIZATION
etf_historical_tracking_error,"基金定期报告/基金公司/授权基金分析库","定期报告跟踪误差披露或口径明确的历史分析接口","报告历史访问；若供应商计算，需取得方法与历史数据授权","NOT_VERIFIED; PROVIDER_QUOTE_REQUIRED","供应商派生指标和基础数据的使用权需同时确认","至少覆盖训练、验证、独立测试各窗口；保留窗口、口径、公告日","用已授权全收益序列按冻结公式自行计算，并与报告披露核对",PENDING_AUTHORIZATION
index_total_return_history,"中证指数/上交所/国证指数/授权指数库","全收益指数历史接口或授权文件下载","目标指数全收益历史、方法版本和商业研究用途授权","NOT_VERIFIED; INDEX_PROVIDER_QUOTE_REQUIRED","指数点位、方法与再分发通常受专门许可约束；未获许可不得入公开仓库","2005-01-01至独立测试结束日；覆盖全部历史与当前基准代码","取得官方文件后本地缓存；用第二授权终端做抽样核对",PENDING_AUTHORIZATION
index_historical_valuation,"中证指数/上交所/国证指数/授权指数估值库","历史PE、PB、股息率及方法版本接口","目标指数历史估值与方法变更档案授权","NOT_VERIFIED; INDEX_PROVIDER_QUOTE_REQUIRED","估值序列和方法文档的使用、展示、再分发权需逐项确认","2005-01-01至独立测试结束日；日频或可解释的发布频率","按历史成分和已授权PIT基本面自行重建，仅作独立核验",PENDING_AUTHORIZATION
